Date,Price,Open,High,Low,Vol.,Change %
2020-02-10,"4,385.54","4,388.75","4,421.40","4,374.67",-,-0.07%
2020-02-09,"4,388.75","4,452.96","4,462.10","4,384.36",-,-1.44%
2020-02-06,"4,452.96","4,465.89","4,477.49","4,447.55",-,-0.29%
2020-02-05,"4,465.89","4,479.40","4,483.35","4,443.74",-,-0.30%
2020-02-04,"4,479.40","4,506.87","4,526.95","4,473.74",-,-0.61%
2020-02-03,"4,506.87","4,481.51","4,511.44","4,481.51",-,0.57%
2020-02-02,"4,481.51","4,469.65","4,497.02","4,469.07",-,0.27%
2020-01-30,"4,469.65","4,481.79","4,497.83","4,457.77",-,-0.27%
2020-01-29,"4,481.79","4,510.77","4,528.67","4,478.33",-,-0.64%
2020-01-28,"4,510.77","4,493.01","4,515.37","4,484.69",-,0.40%
2020-01-27,"4,493.01","4,528.20","4,531.45","4,469.43",-,-0.78%
2020-01-26,"4,528.20","4,513.89","4,549.79","4,503.79",-,0.32%
2020-01-23,"4,513.89","4,440.29","4,519.84","4,440.29",-,1.66%
2020-01-22,"4,440.29","4,408.10","4,446.05","4,407.28",-,0.73%
2020-01-21,"4,408.10","4,434.24","4,445.86","4,380.76",-,-0.65%
2020-01-20,"4,436.79","4,382.06","4,467.52","4,382.06",-,1.25%
2020-01-19,"4,382.06","4,149.82","4,384.80","4,149.82",-,5.60%
2020-01-16,"4,149.82","4,068.20","4,161.75","4,066.64",-,2.01%
2020-01-15,"4,068.20","4,036.23","4,119.47","4,036.23",-,0.79%
2020-01-14,"4,036.23","4,123.48","4,123.87","4,009.70",-,-2.12%
2020-01-13,"4,123.48","4,212.44","4,217.49","4,111.61",-,-2.11%
2020-01-12,"4,212.44","4,197.39","4,241.73","4,197.39",-,0.36%
2020-01-09,"4,197.39","4,228.36","4,235.49","4,187.48",-,-0.73%
2020-01-08,"4,228.36","4,281.43","4,317.66","4,224.49",-,-1.24%
2020-01-07,"4,281.43","4,331.95","4,348.33","4,272.58",-,-1.17%
2020-01-06,"4,331.95","4,400.14","4,414.44","4,320.83",-,-1.55%
2020-01-05,"4,400.14","4,459.29","4,465.04","4,399.60",-,-1.33%
2020-01-02,"4,459.29","4,453.29","4,480.39","4,453.29",-,0.13%
2020-01-01,"4,453.29","4,453.29","4,453.29","4,453.29",-,0.01%
2019-12-30,"4,452.93","4,452.93","4,452.93","4,452.93",-,0.43%
2019-12-29,"4,433.94","4,433.94","4,433.94","4,433.94",-,0.34%
